Synonum,Authority,Reference,Family Level,Species (in Phylo),SpeciesDescription,GenericDescription,Size described (what type),Length in centimeters,monotypicGenus,SeeInFigure,InfloresenceCoded,"HowCertain(1- very sure, 2- kind of sure, 3- unsure)",Curated,Authority,Reference,HotLeeds,Notes: Everything is scored as a 
,,,Liliaceae,Medeola_virginiana,,inflorescence umbel,,,yes,no,umbel,1,JR,L.,"Widden, Paul. ""The morphology of vesicular–arbuscular mycorrhizae in Clintonia borealis and Medeola virginiana."" Canadian Journal of Botany 74.5 (1996): 679-685.",,
,,,Liliaceae,Clintonia_udensis,raceme,,,,no,no,raceme,1,JR,Trautv. and Mey. Fl. Ochot,"Hayashi, Kazuhiko, et al. ""Molecular systematics in the genus Clintonia and related taxa based on rbcL and matK gene sequence data."" Plant species biology 16.2 (2001): 119-137.",,
,,,Liliaceae,Clintonia_borealis,raceme,,,,no,no,raceme,1,JR,(Ait) Raf.,"Hayashi, Kazuhiko, et al. ""Molecular systematics in the genus Clintonia and related taxa based on rbcL and matK gene sequence data."" Plant species biology 16.2 (2001): 119-137.",,
,,,Liliaceae,Clintonia_umbellulata,contracted raceme terminally umbelloid,,,,no,no,raceme,1,JR,Michx.,"Hayashi, Kazuhiko, et al. ""Molecular systematics in the genus Clintonia and related taxa based on rbcL and matK gene sequence data."" Plant species biology 16.2 (2001): 119-137.",,
,,,Liliaceae,Clintonia_andrewsiana,contracted panicle laterally umbelloid,,,,no,no,panicle,1,JR,Torr.,"Hayashi, Kazuhiko, et al. ""Molecular systematics in the genus Clintonia and related taxa based on rbcL and matK gene sequence data."" Plant species biology 16.2 (2001): 119-137.",,
,,,Liliaceae,Clintonia_uniflora,reduced raceme,,,,no,no,raceme,1,JR,(Sol.) Raf.,"Hayashi, Kazuhiko, et al. ""Molecular systematics in the genus Clintonia and related taxa based on rbcL and matK gene sequence data."" Plant species biology 16.2 (2001): 119-137.",,
,,,Liliaceae,Gagea_nigra,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,L.Z. Shue,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_huochengensis,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,Levichev,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_davlianidzeae,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,Levichev,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_rufidula,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,Levichev,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_liotardii,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,(Sternberg) Schult. et Schult,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_cf._xiphoidea,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,Levichev,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_jensii,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,Levichev et Schnittler,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
,,,Liliaceae,Gagea_stenopetala,,"Inflorescence an umbel, few flowered, with a whorlof few leaves (mostly only 2) at the basis. Peduncleain cross section 4–5 sided.",,,no,no,umbel,1,JR,N. Terracc.,"Peterson, Angela, Igor G. Levichev, and Jens Peterson. ""Systematics of Gagea and Lloydia (Liliaceae) and infrageneric classification of Gagea based on molecular and morphological data."" Molecular Phylogenetics and Evolution46.2 (2008): 446-465.",,
